@relation 'teste 10-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.5,969,-200,4.9,760,81,1059,83,1518,560,12,79.8,11175
-200,990,-200,7.2,865,-200,764,-200,1130,902,10.8,47.3,0.6122
2,1004,-200,10.9,1011,108,867,116,1754,893,24.6,41.9,12752
2.4,1227,-200,12.9,1081,338,570,133,1396,1369,14.2,54.3,0.8757
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1.4,1070,-200,10.6,1000,147,801,115,1538,1039,40.3,15.8,11604
0.9,863,-200,2.4,610,130,1088,68,1086,696,13.1,62.4,0.9366
1.1,-200,-200,-200,-200,52,-200,65,-200,-200,-200,-200,-200
0.1,771,-200,2.6,626,34,1502,41,1210,430,29.1,19.6,0.7771
1.9,1040,-200,11,1015,120,775,117,1543,1025,35.1,19.2,10664
3.9,1489,536,19.1,1270,309,633,114,1889,1638,13.5,53.4,0.8196
-200,1091,-200,8.6,925,-200,701,-200,1753,1058,29.7,50.5,20767
-200,1213,-200,11.1,1018,-200,760,-200,1778,1061,13.3,76.8,11703
2.7,1378,-200,19.3,1277,192,628,94,1970,1519,17.1,46.5,0.901
1.4,1019,-200,7.7,889,54,787,65,1630,745,34.2,31.5,16675
1.6,1041,-200,5.3,778,266,828,166,947,1011,5.5,49,0.4471
-200,908,-200,6.1,814,-200,1089,-200,1403,763,17.8,44.9,0.903
0.7,1003,-200,6.2,820,-200,902,-200,1455,908,17.9,46.3,0.9394
0.9,755,-200,3.6,690,157,1653,80,750,467,14.9,17.1,0.2875
1.1,983,-200,6.4,831,68,847,71,1585,887,24.5,44.4,13476
2.7,-200,-200,-200,-200,345,-200,194,-200,-200,-200,-200,-200
1.5,1014,-200,5.8,804,236,871,79,1233,994,14.6,64.7,10677
1.8,1058,-200,11.3,1026,165,794,132,1622,931,39.9,15.8,1141
1.6,1069,-200,7.2,867,92,785,65,1717,880,33.2,39.2,19642
1.9,1112,136,10.1,980,131,924,99,1589,900,14.1,49.8,0.7971
0.4,898,76,2.3,608,-200,1154,-200,1386,743,15.6,61.2,10784
0.8,911,-200,4.8,751,48,1036,46,1518,817,14.3,66.2,10728
1.1,1030,95,7.5,880,76,892,69,1539,996,13.9,60.7,0.9597
3.6,-200,-200,-200,-200,622,-200,164,-200,-200,-200,-200,-200
-200,1425,-200,18.1,1242,-200,675,-200,1858,1486,16.5,42.1,0.7856
2.5,1127,210,11.2,1022,159,871,129,1534,921,16.1,35,0.6372
1.6,1083,-200,7,856,252,720,148,1010,975,8.2,41.8,0.4563
2,1186,-200,8,899,296,695,117,1332,926,12.4,72.6,10422
0.4,760,-200,2.6,626,22,1263,38,1386,575,17.8,54.1,10938
-200,1011,-200,5.4,782,75,828,73,1562,1116,23.3,50.1,1.41
2.5,1251,-200,15.5,1165,144,747,135,1774,975,30.4,24.7,10526
4.1,1401,-200,23.7,1396,231,645,168,2009,1402,27.7,24.8,0.9106
4.2,1435,-200,21.6,1341,804,501,131,1787,1480,12.9,73.8,10937
-200,844,-200,3.6,689,-200,1040,-200,867,545,12.1,31.1,0.4383
2.3,1131,-200,12.3,1059,132,772,100,1784,978,21.4,47.7,12047
1.5,1058,-200,11.2,1023,81,896,74,1580,795,30.9,19.7,0.8649
0.8,793,-200,3.9,703,48,1222,64,1439,627,18.7,49,10462
3.3,1314,503,15.1,1150,181,726,126,1784,1083,16.3,47.7,0.8746
1.2,976,-200,8.4,916,117,1044,117,1515,880,22.3,33.6,0.8913
1,857,-200,2.3,605,115,1094,64,1071,636,13.2,62.9,0.9517
1,909,-200,4.3,728,221,933,107,948,905,7.8,47.4,0.5046
1.1,996,-200,3.8,698,153,871,123,894,1228,4.1,50.1,0.415
-200,1469,-200,14.3,1128,-200,762,-200,1870,1207,18.1,51.3,10587
3.3,1157,-200,18.2,1245,236,665,187,1782,1211,37.3,17.3,1084
2.5,1478,122,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307
2.3,1113,-200,13.1,1086,138,882,119,1584,926,28.1,21.9,0.8184
3.6,1225,-200,19.4,1281,180,683,133,2082,1143,30.7,31.4,13686
1.9,1280,-200,9.9,976,180,780,88,1912,1003,16,80.8,14602
-200,990,-200,6.8,846,-200,947,-200,1503,715,19.5,43.3,0.9706
3.8,1570,-200,17.5,1224,575,468,216,1448,2020,11,51.4,0.6746
-200,1178,-200,9.2,949,-200,847,-200,1653,1047,16.4,57.8,10669
1.3,974,-200,7,855,53,836,67,1607,610,37.1,27.2,16844
0.5,879,-200,3.1,658,25,1121,39,1511,564,24.4,48.3,14499
-200,979,-200,5,764,-200,1054,-200,1462,572,19.7,44.4,10081
1.1,1005,-200,4.9,758,51,1091,57,1434,522,26.8,27.3,0.9462
1.2,889,-200,4.4,734,216,942,134,801,566,12.8,19.8,0.2933
1.3,916,-200,4.3,725,155,953,115,855,746,4,43.1,0.3551
0.4,886,-200,2.2,598,41,1257,53,1374,506,17.9,52.4,10655
3.5,1423,-200,14,1116,550,553,146,1531,1369,12.3,75.4,10768
1,922,65,3.6,687,-200,1142,-200,1390,825,11.1,69.3,0.9128
1.2,926,-200,5.9,805,60,901,78,1511,524,29.4,34.4,13899
1.3,1112,-200,5.6,791,218,764,118,1216,934,13.2,64.2,0.9706
1.9,1058,-200,10.9,1012,109,676,96,1782,1063,30.6,41.9,18104
0.7,755,-200,1.4,538,100,1285,79,621,343,1,34.3,0.2292
2.3,1297,170,11.1,1019,137,733,85,1823,1217,16.2,76.9,14051
1.6,-200,-200,-200,-200,237,-200,102,-200,-200,-200,-200,-200
-200,761,-200,0.1,383,39,1745,35,787,289,3.3,58.1,0.4559
1.9,-200,-200,-200,-200,293,-200,187,-200,-200,-200,-200,-200
2.7,1254,226,11.5,1033,142,819,107,1669,1068,14.3,52.9,0.8581
1,901,-200,6.5,834,102,1177,103,1408,738,20.1,35,0.8149
-200,887,-200,4.7,748,36,1141,34,1560,596,29.6,33.4,13581
-200,1097,-200,9,940,-200,676,-200,1727,1056,28.1,45.4,1697
1.6,1236,61,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951
1.6,984,-200,6.9,851,112,959,101,1452,817,16.8,45.6,0.8636
1,871,-200,5,761,61,1015,60,1346,520,39.7,15.3,10963
1.6,992,-200,9.2,948,106,773,95,1609,1271,26.3,33.7,11377
0.5,795,-200,1,504,94,1258,79,840,682,2.6,58.6,0.4385
-200,962,-200,5.3,780,-200,919,-200,909,884,9.6,32.3,0.3871
2.3,1148,-200,9.9,975,349,638,223,1243,1064,5.6,74.6,0.6826
2.8,1312,-200,10.5,998,474,640,167,1249,1473,13.4,43.1,0.66
2.2,1228,-200,8.3,913,293,643,174,1124,1396,7.8,50,0.53
0.3,922,-200,4.7,750,46,1085,45,1585,685,18.6,75.7,16074
2.3,1102,-200,7.9,897,326,715,173,1024,1196,5.7,42.1,0.3885
1,929,-200,5.6,791,59,841,41,1493,789,22.2,53.9,14201
1.1,888,-200,2.4,611,150,1035,111,791,419,7.9,38.9,0.4141
5.4,-200,-200,-200,-200,487,-200,143,-200,-200,-200,-200,-200
4.4,1443,-200,22.7,1371,221,664,160,1988,1425,27.5,24.7,0.8899
1.8,1058,-200,10.7,1004,92,776,98,1684,947,28.8,32.8,12776
4.2,1432,-200,18.8,1264,660,487,179,1476,1888,11.8,44.4,0.6118
1.5,1124,-200,6.7,842,313,690,178,1180,981,3.4,84.5,0.6677
3.4,1560,214,14.7,1140,217,784,146,1818,1648,16.7,49.6,0.932
0.8,980,62,3.4,677,73,1141,64,1435,659,14.6,58.8,0.9711
2.3,1076,451,11.6,1034,150,964,101,1544,813,21.3,24.2,0.606
1.7,1142,-200,9.1,945,73,682,83,1736,793,27.8,52.6,19398
1.8,1179,-200,9.5,957,105,680,67,1819,1131,33.6,41,20995
1.3,1008,-200,6.1,816,78,1015,72,1531,689,23.6,36.4,10431
1.6,1063,-200,7.9,894,104,823,100,1688,1025,27.2,41.1,14611
2,1133,203,10.9,1012,111,806,108,1608,1054,17.9,43.5,0.884
2.1,1074,-200,12.8,1078,124,685,108,1673,1317,24.7,36.9,11302
0.6,-200,-200,-200,-200,89,-200,72,-200,-200,-200,-200,-200
0.7,877,-200,3,655,27,1061,35,1471,444,33,37.3,18481
1.2,985,-200,3.6,691,205,878,97,1056,902,7.7,71.9,0.7575
3.2,1170,-200,13.3,1095,358,618,116,1470,1195,15.2,58.4,10007
0.5,732,-200,2.4,613,44,1273,40,1413,605,18.2,54.1,11155
2.9,1398,209,16.3,1189,180,646,112,1931,1577,18.2,58.8,12173
2.1,992,-200,9.8,970,135,869,100,1624,884,18.5,42.8,0.9026
1.7,1116,98,6.9,854,118,929,78,1533,1034,11.5,70.1,0.9503
1.1,981,-200,2.9,649,141,924,114,901,573,12.4,34.9,0.5002
0.4,790,-200,0.4,431,53,1439,49,722,354,2.8,43.8,0.3308
0.7,941,-200,3.6,687,44,949,52,1530,642,24.7,56.9,1739
1.8,1063,-200,10.4,991,200,655,104,1672,966,24.4,53.4,16031
0.6,-200,-200,-200,-200,36,-200,49,-200,-200,-200,-200,-200
2.6,1111,-200,13.1,1086,114,787,107,1802,824,33.2,23.7,11855
1.6,961,-200,9,939,118,912,101,1508,846,34.5,18.9,10168
3.5,1357,-200,21.6,1339,572,657,141,1583,1639,17.4,53.3,10528
3.5,-200,-200,-200,-200,809,-200,176,-200,-200,-200,-200,-200
2.6,1269,-200,12.8,1077,163,773,137,1706,1250,20.7,38,0.9149
-200,774,-200,1.9,577,21,1158,33,1265,488,23.9,34.4,10079
3.5,1277,-200,20.1,1300,331,608,136,2090,1598,24,43.1,12677
-200,1136,-200,16.2,1187,-200,904,-200,1735,1127,23.7,28.4,0.8225
1.5,1039,-200,6.9,855,341,783,140,1025,1210,3.4,58.5,0.4608
0.6,823,-200,1,503,60,1268,56,755,332,4,51,0.42
2,1076,-200,12.2,1055,146,817,-200,1734,993,34.4,21,11248
0.1,889,-200,3.8,698,27,1132,40,1234,437,40.2,12.3,0.8983
3.8,1407,426,18.3,1249,213,720,129,1932,1276,17,43.1,0.8264
-200,991,-200,9.1,944,116,765,104,1608,868,26.2,38.5,12932
0.3,896,-200,3.3,668,227,1043,136,887,519,3.3,50.2,0.3934
0.5,900,-200,1.2,522,61,1242,55,1070,471,10.8,78.7,10202
1.4,974,-200,4.5,736,168,888,97,945,966,3,60.7,0.4667
-200,1367,-200,21.6,1342,308,567,193,2002,1758,34.8,23.4,12781
-200,1078,-200,4.3,727,183,849,130,1057,857,5.7,75.1,0.6942
2,-200,-200,-200,-200,289,-200,100,-200,-200,-200,-200,-200
2.1,1098,227,9.8,971,145,877,103,1527,966,15.8,40.5,0.7241
3.6,1137,-200,16.7,1200,321,648,135,1821,1489,21.7,42.4,10859
5.4,-200,-200,-200,-200,747,-200,291,-200,-200,-200,-200,-200
5.6,1662,880,31.1,1576,351,523,123,2417,1861,15.4,53.3,0.9289
2.9,1338,-200,16.9,1208,469,539,123,1600,1481,18,58,11901
2.7,1409,-200,14.5,1131,166,873,149,1689,1206,25.8,23.9,0.7832
3.2,1396,-200,20.3,1306,361,587,189,1934,1886,33.4,26.8,13586
-200,888,-200,2.8,640,33,1089,47,1330,670,16.5,50.2,0.932
2.3,1206,-200,9.8,969,363,701,95,1365,1178,14.3,63.3,10266
-200,1028,-200,14.9,1146,-200,638,-200,1766,1080,21.7,49.1,12602
2.6,1451,-200,20.1,1298,575,452,148,1744,1634,14,65.4,10427
1.3,1115,75,3.9,707,104,1105,93,1384,677,12.7,62.7,0.9173
1.3,1034,-200,6,812,70,866,82,1563,660,32.3,33.4,1.59
-200,1109,-200,9.3,952,-200,735,-200,1601,1041,29.1,33.6,13314
1,931,61,3.6,689,63,1161,73,1317,503,12.7,58.7,0.8605
1.9,1008,-200,10.7,1004,133,817,124,1588,1125,27.4,27.1,0.9736
1.4,940,-200,3.6,686,190,903,150,1005,648,4.5,75.5,0.6429
0.9,1086,-200,6.6,837,83,885,68,1553,906,15.8,59,10495
2.3,1059,-200,8.1,905,356,735,179,1098,1130,7.3,52.8,0.5404
1.9,1067,-200,7.5,879,291,740,194,989,996,8.7,33.9,0.3832
-200,785,-200,1.1,505,-200,1226,-200,829,428,8.7,45.6,0.5128
-200,1430,-200,20.7,1316,-200,638,-200,2069,1382,11,77.4,10135
1.7,1125,179,8.6,924,102,937,73,1542,790,21.8,33.9,0.8771
1.8,1073,181,9.7,966,128,935,87,1537,805,16.6,36.7,0.6867
1.1,-200,-200,-200,-200,44,-200,56,-200,-200,-200,-200,-200
0.9,883,-200,3.9,705,51,1133,65,1422,655,15.4,58.8,10215
1.5,1168,-200,5.7,797,251,698,111,1235,1022,14,59.7,0.9495
-200,947,-200,4.8,752,-200,1068,-200,1434,620,17.9,44.8,0.9104
1.5,943,132,6.8,850,92,1084,91,1296,544,22.1,21.3,0.5605
0.9,1041,60,3.5,683,73,1112,69,1398,899,13.9,59.6,0.9408
2,979,-200,10.6,999,148,796,110,1515,1027,33.4,20.1,10142
1,849,-200,3.5,680,161,1015,111,741,461,11.9,19.2,0.2677
2.3,1434,-200,18,1239,530,506,223,1458,1835,12.1,55.3,0.7777
-200,981,-200,4.7,747,52,856,69,1493,1090,25.1,44,13794
1.2,982,-200,6.7,844,52,835,71,1567,638,33.9,32.3,16809
3.8,1546,-200,15.1,1151,173,769,116,1874,1122,18.5,43.8,0.9252
2,1060,-200,7.5,877,327,1648,107,1313,929,11.3,83.1,11089
2.1,-200,-200,-200,-200,266,-200,165,-200,-200,-200,-200,-200
1.7,946,-200,6.3,827,236,876,130,1037,915,6.1,50.3,0.4769
1.6,1496,-200,18.5,1254,643,484,217,1472,1881,9.2,67.7,0.79
2.3,1142,-200,7.2,866,348,815,107,1329,939,13.8,77.3,12169
1.8,1021,-200,7.6,883,234,766,130,1139,846,8.9,54.4,0.62
2,1039,-200,12.6,1069,138,773,135,1646,880,37.1,17.7,1094
1,912,-200,7,858,92,923,69,1608,894,19.8,50.4,11525
2.5,1111,-200,14.4,1131,171,735,137,1825,1085,34.3,22.4,11907
-200,882,-200,3.5,685,35,1134,42,1492,673,16.2,69.9,12756
0.3,804,30,0.7,468,12,1826,19,1166,320,15.7,45.4,0.8063
1.4,962,155,5.2,776,102,1131,81,1247,535,18.2,26.1,0.5387
3.3,1332,-200,18.1,1242,460,524,138,1716,1608,17.9,66.3,13499
1.1,1006,-200,6.2,822,232,794,151,1025,897,4.7,50.8,0.4398
2.9,1284,405,13.6,1103,167,755,116,1704,1064,20.4,34.7,0.8229
3.7,1138,-200,10.2,986,275,663,157,1188,1030,7.3,56.7,0.5806
0.5,778,-200,1.4,534,14,1480,22,1294,358,19,49.8,10831
1.7,1127,-200,5.8,802,104,1064,92,1447,837,13.8,57.9,0.9085
4.4,1598,333,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.7536
0.3,965,-200,4.6,742,193,889,110,1099,661,8.6,63.3,0.7073
4.7,1597,-200,26.5,1466,320,518,109,2400,1687,16.9,66.1,12613
1.4,929,-200,4.2,721,198,923,120,956,913,4.5,62.7,0.5343
