@relation 'teste 02-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute CO(GT) numeric
@attribute PT08.S1(CO) numeric
@attribute NMHC(GT) numeric
@attribute C6H6(GT) numeric
@attribute PT08.S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08.S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08.S4(NO2) numeric
@attribute PT08.S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
1.7,1042,-200,6,814,287,746,105,1167,1036,8.4,75.9,0.8407
0.9,-200,-200,-200,-200,133,-200,107,-200,-200,-200,-200,-200
2.5,1151,-200,10.1,983,375,629,232,1244,1121,5.7,72.5,0.6686
0.4,774,-200,0.6,458,43,1473,37,735,334,1.4,52.3,0.3591
2.4,1157,-200,16.1,1183,133,738,111,1970,1079,26.6,37.9,12994
2.2,1193,-200,14.7,1139,143,563,47,2009,1257,24.5,61.3,18522
5.6,1354,-200,16.7,1201,588,529,193,1593,1538,16.1,59.2,10736
1.1,996,-200,3.8,698,153,871,123,894,1228,4.1,50.1,0.415
-200,1489,-200,29.3,1534,-200,444,-200,2080,1686,17.8,66.3,1341
1.3,969,-200,4.4,733,176,901,72,1191,803,13,67.6,1009
1.8,993,-200,8.7,927,151,886,96,1665,842,21.5,44.5,1129
0.9,915,-200,2.1,589,105,1045,90,813,550,6.9,39.6,0.3966
-200,1244,-200,14.8,1141,-200,571,-200,1671,1337,19.2,71.3,15723
1.2,986,-200,6.4,830,73,906,100,1482,536,36.6,24.6,14872
2,1189,-200,9.7,965,239,670,87,1533,1060,26.5,44.9,15278
3.2,1024,-200,14.3,1127,189,704,84,1346,943,14.8,37.5,0.6259
-200,912,-200,5.6,794,-200,885,-200,943,731,12,31.1,0.434
0.6,711,-200,1.6,556,109,1938,67,840,416,10.4,36.2,0.4561
0.6,914,-200,4.3,725,38,949,49,1550,780,21.2,56.8,14094
0.8,941,-200,6,814,52,873,65,1592,979,27.5,41.3,14962
2.9,1212,-200,16.4,1191,455,551,97,1586,1210,15.9,69.8,1253
2,1085,-200,11.7,1039,100,745,96,1790,1092,27.8,38.7,14187
0.8,940,-200,4,709,47,956,52,1641,588,25.2,67.1,21164
0.4,920,-200,2.2,601,87,974,80,920,925,3.9,65.5,0.5367
1.3,-200,-200,-200,-200,91,-200,76,-200,-200,-200,-200,-200
1.6,979,-200,5.1,767,-200,827,-200,1041,908,3.3,82.6,0.645
1.9,1026,-200,13,1085,124,848,116,1654,1341,37.4,14.9,0.9413
1,855,-200,1.9,578,144,1121,108,855,599,5.7,54.3,0.5022
0.9,948,-200,3.7,697,44,983,53,1475,506,27.2,45.9,16316
0.7,878,-200,3.5,684,26,947,37,1475,588,26.1,50.8,16917
0.9,925,-200,3.3,672,140,991,86,1154,709,16.1,55.4,10089
1.8,961,-200,5.3,779,267,917,115,960,983,1.2,61.4,0.4159
-200,1117,-200,11.5,1031,-200,669,-200,1528,1107,15.2,73.4,12626
3.1,1065,-200,15.1,1151,272,801,118,1894,1160,23.5,40,11386
0.9,1062,-200,5.1,770,96,780,48,1450,922,21.3,63.9,15951
-200,1399,-200,24.5,1416,-200,485,-200,1894,1671,17.6,64.9,12925
-200,1078,-200,4.3,727,183,849,130,1057,857,5.7,75.1,0.6942
1.6,1137,-200,9.7,967,140,687,74,1557,1091,19.4,69.3,15418
2.8,1237,-200,9.6,962,478,685,171,1138,1385,10.3,44.9,0.5612
5.5,1609,-200,18.1,1243,602,505,178,1491,2100,11.4,62.9,0.8454
4.6,1390,-200,24.4,1414,455,487,117,1959,1428,23.3,53.1,1496
1,947,-200,3.2,666,159,985,68,1115,795,12.8,66.3,0.9804
2.5,1156,-200,14.8,1144,154,651,115,1832,1216,33.1,28.3,14121
1.9,1054,-200,5.5,789,241,886,100,1254,864,14.2,71.7,11578
0.8,-200,-200,-200,-200,97,-200,71,-200,-200,-200,-200,-200
0.9,1047,-200,5.6,792,250,757,150,957,1121,0.8,69.9,0.4591
2.2,1009,-200,11.5,1034,110,806,109,1763,925,25.3,39.4,12524
0.4,828,-200,2.5,618,23,1039,25,1354,560,23.6,49.2,14153
4.5,1543,-200,15.8,1174,513,521,127,1542,1494,10.4,82.5,10406
2.1,1024,-200,12.1,1052,183,779,104,1690,952,28.5,27.3,10479
0.4,913,-200,2.9,645,154,966,114,922,651,4.6,54.8,0.4704
0.7,923,-200,4.6,744,80,908,64,1394,815,22.3,55.8,14828
3.6,1339,-200,22,1352,225,569,187,1990,1469,40.6,18.2,1368
-200,915,-200,3.4,674,-200,970,-200,1481,829,20.5,78,18636
0.4,797,-200,1.5,543,25,1466,37,1347,410,21.6,48.1,12259
3.7,1341,-200,21,1323,499,516,94,1786,1522,23.7,49.1,1423
3.6,1290,-200,13,1084,596,586,144,1544,1362,15.8,74.7,13336
0.5,836,-200,2.9,643,-200,1114,-200,1405,522,22.3,50.4,13379
2.4,-200,-200,-200,-200,147,-200,124,-200,-200,-200,-200,-200
1.5,905,-200,4.7,747,223,924,139,850,691,7,33.5,0.3367
2.2,1194,-200,13.7,1106,100,667,97,1985,1194,28.2,48.1,18144
0.9,-200,-200,-200,-200,122,-200,100,-200,-200,-200,-200,-200
-200,1539,-200,23.9,1402,-200,475,-200,2018,1780,23.9,57.2,16774
1.9,1057,-200,8.9,934,206,743,57,1525,1041,19,66.1,14415
3.1,-200,-200,-200,-200,551,-200,175,-200,-200,-200,-200,-200
1,904,-200,5.2,774,98,878,51,1329,805,15.7,76.3,13519
1.2,889,-200,4.4,734,216,942,134,801,566,12.8,19.8,0.2933
4.5,1738,-200,20.4,1309,743,424,231,1543,2494,10.1,59.9,0.7379
2.3,1172,-200,14.9,1145,275,735,128,1676,1049,35.2,25.2,14111
0.7,-200,-200,-200,-200,103,-200,61,-200,-200,-200,-200,-200
0.8,816,-200,3.5,684,42,1195,56,1285,467,39,15.1,10424
-200,912,-200,3.3,671,-200,964,-200,1508,508,35.1,34.6,19255
5.7,1578,-200,27.6,1494,980,448,160,1854,1800,9.9,77.6,0.9488
0.7,880,-200,2.4,613,-200,1016,-200,878,968,3.3,57.7,0.4516
-200,863,-200,4.6,745,-200,1098,-200,1496,786,19,54,11745
1,892,-200,3.3,672,146,1012,73,1111,706,13.1,64.3,0.9628
-200,726,-200,2.1,591,22,1263,34,1386,579,17.2,57.9,1127
2.7,1119,-200,8.2,908,387,735,167,1173,1197,8.8,65.5,0.7435
0.5,751,-200,2,587,43,1165,50,1353,678,18.4,53.4,1117
2.6,1220,-200,14.2,1122,245,601,107,1974,1428,25.6,61.2,19808
0.4,704,-200,0.8,478,55,1498,41,821,348,10.4,37.4,0.4717
2.8,1220,-200,13,1085,411,618,150,1205,1531,8.7,48.3,0.5458
2.7,1189,-200,15.6,1167,391,599,114,1541,1315,18.7,53,11322
3.8,1414,-200,18.7,1261,717,532,114,1644,1479,9.8,80.5,0.9724
1.8,1010,-200,7.1,863,265,915,95,1257,886,15.2,51,0.8762
1.8,1013,-200,10.6,999,120,791,105,1751,1119,24,47.3,13914
0.8,901,-200,4.4,733,27,888,39,1605,755,24.9,63.5,19647
4.8,-200,-200,-200,-200,1058,-200,217,-200,-200,-200,-200,-200
-200,905,-200,5.1,766,-200,842,-200,1438,818,22.9,56.2,15522
1.8,1090,-200,6.4,830,224,744,98,1125,1056,7.1,73.9,0.7515
4.1,1376,-200,25.9,1452,531,521,108,2123,1541,18.5,68.9,14565
4.6,1207,-200,16.8,1203,706,625,207,1570,1251,13.1,69.6,10464
1,941,-200,4.2,723,165,922,121,880,643,9.3,33.8,0.3981
1.9,1054,-200,5.6,791,253,830,126,967,1131,4.3,55.3,0.465
4.3,1391,-200,21.5,1338,729,509,183,1514,1816,11.5,60.9,0.8249
7.7,1835,-200,40,1770,826,358,172,2474,2073,23.9,61.8,18088
0.5,857,-200,3.5,685,24,1055,33,1331,451,39.2,20.2,14104
3.1,1202,-200,14.3,1126,359,606,115,1480,1212,15.4,57.9,10068
2,1076,-200,10.4,994,133,723,129,1549,938,38.3,17.9,1181
3.8,1165,-200,12.6,1070,522,650,166,1467,1180,15.8,61.1,10856
2.1,1137,-200,7,856,264,758,132,1032,1338,8.1,49.9,0.5417
2,1186,-200,8,899,296,695,117,1332,926,12.4,72.6,10422
-200,1029,-200,11.8,1042,122,756,130,1697,1062,30.5,29.9,12875
1.2,1014,-200,4.5,737,124,1509,75,1288,765,13.2,84.4,12779
1.4,1019,-200,4.4,730,188,811,143,1082,916,5.6,71.9,0.6604
1.1,993,-200,6,813,132,792,57,1413,946,19.9,67.5,15544
7.9,1816,-200,46.3,1897,814,330,158,2641,2164,21.7,61.9,1592
1,922,-200,5.4,783,192,857,76,1367,825,16.7,79.7,1503
5.5,1179,-200,23.5,1390,755,567,198,1453,1459,6.5,38.1,0.3709
-200,1120,-200,12.2,1058,-200,626,-200,1716,1049,31.4,31.8,1441
0.5,734,-200,2.3,603,40,1471,48,1303,450,25.9,28.8,0.9475
1.6,982,-200,7.9,895,233,892,89,1413,859,24.3,39.5,11842
-200,1559,-200,26.9,1476,-200,463,-200,2022,1660,25.7,44.1,14331
3.6,1440,-200,24.3,1412,446,494,104,2016,1455,22.6,61.4,16645
2,1156,-200,10.3,988,-200,615,-200,1634,1250,26.7,43,14808
2.8,1226,-200,15.6,1168,265,650,158,1952,1311,33.6,28.7,14693
3.9,1436,-200,20.1,1299,581,451,159,1616,1621,13.6,58.9,0.9139
1,938,-200,7.6,881,48,956,61,1607,662,24.1,43.3,12839
1.1,948,-200,6.3,826,137,802,57,1382,897,19.3,65.5,1.45
2.8,1210,-200,12.5,1067,151,642,125,1879,1158,27.3,47.1,16807
-200,1435,-200,22.8,1373,-200,513,-200,1910,1759,23.9,48.7,14269
-200,997,-200,8,898,65,813,97,1613,856,27.7,37.9,13842
6.2,-200,-200,-200,-200,687,-200,243,-200,-200,-200,-200,-200
-200,1506,-200,23.3,1385,-200,555,-200,2260,1935,23.8,63.5,18495
-200,1163,-200,11.2,1022,95,695,102,1644,1141,30.9,29,1275
0.7,812,-200,3.2,664,79,1212,57,1215,518,21.1,44.5,1098
1.7,1034,-200,7.4,876,291,740,66,1305,968,11.5,81.7,11033
-200,932,-200,6.2,820,-200,817,-200,1462,921,23.6,45.4,13067
-200,1410,-200,21.6,1340,-200,533,-200,1841,1414,30.8,31.8,13908
2.5,1236,-200,10.9,1011,320,631,91,1706,1305,23.7,68.2,19739
1.2,953,-200,5.8,801,83,868,109,1573,657,35.7,29,16716
1.2,986,-200,5.5,790,57,869,70,1422,853,26.3,33.1,11199
-200,865,-200,2.8,636,-200,992,-200,1285,761,20,62.9,14495
-200,780,-200,3.2,666,-200,1099,-200,1003,697,3.2,76.8,0.5963
4.3,1281,-200,17.2,1216,542,548,191,1604,1687,16.3,58.1,10648
3.9,1405,-200,17.5,1224,601,468,270,1503,1658,6.7,74.2,0.7326
3.1,1237,-200,18,1239,387,570,123,1620,1389,16.4,59.5,11017
1.1,916,-200,6.7,843,81,891,97,1511,614,29.1,29.7,11751
1.6,973,-200,5.3,777,286,858,165,844,719,13.9,20.7,0.3271
1.1,868,-200,6.7,846,72,925,69,1448,836,23,33.8,0.9406
1.6,961,-200,7.6,881,337,932,95,1417,901,22,47,12259
9.2,1778,-200,48.2,1935,859,349,119,2643,1927,20.9,67.5,16539
0.6,903,-200,3.4,679,90,956,44,1385,660,18.2,76.9,15945
1.5,1014,-200,8.7,927,309,747,56,1497,951,16.1,76.3,13902
2.2,1183,-200,11,1013,310,632,128,1306,1186,10.2,61.5,0.7638
-200,1049,-200,13.5,1100,-200,667,-200,1635,870,36.4,20.3,1214
1.5,1015,-200,6.5,833,214,786,84,1400,868,16.9,81.4,1551
1.9,1092,-200,7.4,875,298,751,143,1010,1347,4.2,58.1,0.4832
1.3,1058,-200,4.3,727,-200,834,-200,1193,860,12.2,74.5,10537
1.9,1030,-200,8,899,234,767,118,1275,836,17.7,51.5,10357
-200,872,-200,4,710,-200,956,-200,1377,493,31.9,28.2,13116
4.4,1435,-200,24.2,1408,598,537,191,1991,1704,25.8,44.2,14512
1.9,-200,-200,-200,-200,104,-200,109,-200,-200,-200,-200,-200
0.8,939,-200,1.8,568,101,1037,72,1054,656,12.4,62.6,0.8994
0.2,676,-200,0.4,429,-200,1750,-200,803,296,11,37.3,0.488
5,1440,-200,30.2,1556,310,517,142,2530,1561,22.9,52.4,14442
1.3,1029,-200,8.1,904,-200,709,-200,1460,992,29.1,36.7,14502
1.1,967,-200,6.3,826,68,821,61,1639,822,24,57.2,16835
-200,943,-200,8,900,-200,816,-200,1129,1064,8.5,59.7,0.6649
3,1368,-200,15.5,1164,528,524,217,1350,1674,6.3,65.1,0.6237
1.2,963,-200,5.2,774,62,839,64,1621,758,27.3,51.3,1835
-200,766,-200,0.3,412,-200,1651,-200,763,295,4.5,52,0.4436
0.5,853,-200,4.1,716,37,994,51,1423,647,22,45.8,11965
1.2,935,-200,6,810,243,881,74,1356,835,17.8,60.6,12276
1,927,-200,5.9,806,51,1013,69,1446,559,38.3,15.8,10465
1.1,973,-200,4,712,184,923,69,1157,831,13.2,65.2,0.9841
1.5,882,-200,6.3,826,280,952,125,910,799,7.9,36.4,0.3889
-200,962,-200,5.3,780,-200,919,-200,909,884,9.6,32.3,0.3871
0.7,896,-200,3.7,694,58,941,46,1583,853,23.2,68,19045
2.6,1138,-200,13.9,1113,337,610,66,1641,1203,19.2,68.8,15097
4.9,1424,-200,24.5,1417,-200,488,-200,2092,1674,33.2,30.1,15095
3.5,1383,-200,17.3,1218,758,497,196,1506,1738,13,60.9,0.9061
2.2,1069,-200,4.5,737,257,792,125,946,1114,2.6,67.5,0.5034
1.3,971,-200,6.1,818,59,942,65,1565,585,35.3,23.7,13331
0.3,779,-200,0.2,402,34,1665,31,684,257,2.8,52.6,0.3972
2.7,1196,-200,11.6,1035,496,633,177,1259,1338,7.5,64.4,0.672
1.9,1111,-200,7,856,176,746,81,1254,1036,14.7,60.3,10031
2.7,1322,-200,13.8,1110,565,568,241,1208,1776,12.2,34.3,0.4864
1.6,970,-200,7.4,873,88,859,114,1423,606,38.1,22,14402
1.8,951,-200,8.2,908,275,873,94,1314,904,19.7,40.2,0.9108
-200,809,-200,3.8,701,-200,997,-200,1384,649,21.1,51.6,12784
0.8,968,-200,3,652,197,937,131,1051,788,3.6,84.4,0.6724
6.3,1486,-200,19.7,1289,607,466,283,1633,1438,5.5,79.8,0.7261
1.6,1093,-200,5.5,789,241,771,127,1206,949,13.5,63.4,0.9755
1.8,1084,-200,7,855,332,748,193,939,1446,5.8,42,0.3904
3.3,1304,-200,13,1085,467,571,129,1385,1419,9.5,71.3,0.8458
-200,1305,-200,17.4,1223,460,545,120,1720,1414,23.7,49.8,14433
1.2,989,-200,4,713,72,954,78,1552,626,27.6,47.5,17266
2.2,1096,-200,9.4,954,345,687,197,1085,1139,9.1,37.8,0.4372
1.4,896,-200,8.4,917,83,1017,72,1577,704,30.3,25.2,10652
-200,800,-200,1.5,541,71,1250,58,779,407,6.1,42.6,0.4041
3.8,-200,-200,-200,-200,498,-200,173,-200,-200,-200,-200,-200
0.7,774,-200,2,583,98,1246,57,966,457,16.6,38.2,0.7186
1.4,1018,-200,5.7,800,225,821,78,1185,956,8.7,84.2,0.9526
5.8,1589,-200,33,1619,633,406,124,2216,1780,22.2,63.7,16865
1.3,975,-200,5.5,788,70,851,54,1629,701,34.5,35.1,18856
-200,1007,-200,10.6,1000,-200,727,-200,1197,1210,11.3,46.5,0.6194
0.8,908,-200,4.4,732,77,966,62,1311,722,23.5,44.7,12755
0.7,729,-200,2.8,639,174,1234,96,773,628,8.7,24.7,0.2785
1.5,998,-200,6.6,841,276,792,165,979,884,12.1,32.3,0.4548
6.8,-200,-200,-200,-200,649,-200,170,-200,-200,-200,-200,-200
0.9,950,-200,3.5,680,181,936,106,914,1028,4.2,57.1,0.4743
-200,894,-200,3.5,681,-200,843,-200,1476,765,21.2,66.4,16468
0.5,824,-200,2.4,615,-200,1131,-200,1336,601,22.4,59.9,16069
3.8,1152,-200,22.1,1355,245,628,175,1879,1620,30.5,22.7,0.9763
1.8,-200,-200,-200,-200,224,-200,152,-200,-200,-200,-200,-200
3.6,-200,-200,-200,-200,484,-200,137,-200,-200,-200,-200,-200
0.6,800,-200,2.6,627,-200,1032,-200,1519,787,23.3,63.3,17895
2.4,1085,-200,15.5,1164,368,707,120,1503,1155,13.5,58.2,0.8944
2.3,1101,-200,12.2,1057,122,797,113,1772,863,33,26,12877
2.7,1325,-200,11.3,1027,426,591,162,1394,1365,13.5,63,0.9686
-200,947,-200,5.9,808,-200,768,-200,1537,851,21.8,64.6,16721
0.6,844,-200,2.5,618,100,2095,63,1064,757,8.3,80.4,0.8861
1.6,1105,-200,8.1,905,239,734,72,1576,950,21.2,67.7,16848
0.4,796,-200,1.3,526,25,1534,36,1322,392,21.4,47.8,12005
-200,1050,-200,16.6,1199,-200,849,-200,1781,1035,29,24.5,0.9655
1.1,1074,-200,7.2,866,78,717,42,1768,1075,26.1,63.7,2117
0.7,941,-200,3.5,685,50,895,32,1632,834,25.9,63.6,2102
1.7,1178,-200,7.4,876,209,666,119,1319,1059,13.1,68.7,10329
-200,1666,-200,31,1573,-200,427,-200,2195,1968,23.3,54.4,15386
4.2,1531,-200,18,1238,685,619,140,1583,1774,12.7,77.5,11339
1.5,1062,-200,7.5,880,161,719,62,1580,924,22.9,65.7,18148
0.4,873,-200,0.9,485,78,1305,67,1083,512,10.7,80.7,10377
-200,1024,-200,7,859,-200,810,-200,1576,710,33.1,32.6,16188
0.5,757,-200,1.6,551,94,1295,51,967,453,14.9,46.8,0.7885
0.4,910,-200,2.7,630,29,1061,35,1504,468,25.1,62.4,19602
4.5,1309,-200,23.1,1379,524,555,175,1841,1693,20.9,45.8,11159
-200,1362,-200,17.5,1225,252,551,158,2003,1826,28.1,42,15735
4.1,1236,-200,21.3,1332,641,601,152,1683,1550,17.8,45.7,0.9224
1.7,1063,-200,8.5,919,46,735,60,1676,821,37.2,29.1,18185
2.3,986,-200,8.8,931,362,815,120,1011,976,18.3,19.5,0.4044
2.9,1278,-200,14.4,1130,436,580,129,1506,1471,15.4,59.6,10375
-200,1147,-200,9.5,959,-200,872,-200,1387,796,35.9,20.3,11845
3.4,1332,-200,15.5,1163,445,548,134,1664,1522,18.8,62.7,13506
1.9,-200,-200,-200,-200,156,-200,123,-200,-200,-200,-200,-200
4.1,1318,-200,17.5,1226,521,543,83,1848,1365,20,73.2,16965
-200,904,-200,2.9,644,-200,949,-200,1036,697,9.3,64.7,0.7575
2,1120,-200,8.8,932,238,897,105,1301,1039,14.6,65.9,1088
1.6,1217,-200,9.9,975,174,665,66,1565,1109,22.3,60.6,1608
4.9,1605,-200,24.5,1416,1099,436,240,1614,1941,5.3,77.4,0.6954
2.6,1297,-200,14.6,1136,283,567,89,1725,1307,20.3,70.5,16599
3.7,-200,-200,-200,-200,646,-200,232,-200,-200,-200,-200,-200
0.6,835,-200,3.8,699,-200,912,-200,1361,796,19.8,59.3,13505
2.1,1083,-200,10.7,1003,95,787,112,1524,842,34,19.2,10073
3.1,1274,-200,15.4,1160,606,587,133,1412,1373,6.9,73.7,0.7348
3.1,1363,-200,16.4,1192,531,499,148,1501,1637,13.4,57.9,0.8895
-200,1036,-200,6.8,850,-200,760,-200,1411,1001,21.7,60.2,15442
-200,830,-200,3.7,696,-200,1060,-200,1328,461,28.5,29.4,11298
7.8,1659,-200,35.9,1685,1290,423,272,1946,2155,16,41.5,0.7483
3,1231,-200,11.1,1017,492,655,151,1207,1414,5.2,70,0.6232
3.7,1274,-200,19.9,1294,667,615,177,1595,2236,21,37.2,0.9155
0.7,1098,-200,7.6,881,265,760,128,1203,974,7,64.9,0.6512
1.6,973,-200,8.3,911,126,800,121,1441,891,32.9,21.8,10714
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
2.1,1014,-200,10.9,1012,156,795,125,1548,851,34.4,19.9,10647
-200,884,-200,4.3,729,-200,920,-200,1389,837,22.9,45.7,12621
6.9,1633,-200,35.6,1677,1018,400,217,1880,2188,11.7,60.8,0.8336
2.3,1186,-200,15.1,1151,166,680,157,1686,1235,44.6,12.6,11684
3.4,1374,-200,17.4,1222,602,516,160,1582,1671,13.7,66.8,10432
0.6,960,-200,1.3,532,66,1059,60,1122,724,12.9,70.4,10444
0.4,787,-200,0.3,415,39,1474,37,667,293,3.4,38.9,0.3075
-200,886,-200,5.2,774,-200,868,-200,1486,815,20.9,57.4,14037
2,1019,-200,7.4,874,287,1113,114,1235,905,14.5,56.5,0.9306
-200,1232,-200,17,1210,-200,565,-200,1832,1478,34.5,28.5,15324
